feature,importance
seasonality_strength,0.11062069097436966
autocorr_monthly,0.1025933524527247
avg_consumption,0.08222345466249857
autocorr_weekly,0.07671443507770812
consumption_entropy,0.07445072172596033
sudden_drop_count,0.06344633102729674
std_consumption,0.062122591048662905
volatility_7d,0.051738823213918025
volatility_30d,0.04507166197593576
volatility_90d,0.04490467262459604
peak_to_avg_ratio,0.0396249550003264
max_daily_drop,0.031945539649844354
pct_change_7d,0.030429769558050837
cv_consumption,0.029969681435443433
z_score_90d,0.025125571585128025
benford_violation,0.02369303666938766
z_score_30d,0.0233723325823248
weekend_weekday_ratio,0.019408990474549404
z_score_7d,0.01724856954298669
pct_change_30d,0.014864909756507687
pct_change_90d,0.010223272570134142
iqr_outlier_count,0.009582403075561692
total_consumption,0.006025623819457947
max_daily_spike,0.004418289764130115
trough_to_avg_ratio,0.00018031973249590626
